dataset,Candidate,Reason,Non-reason,Candidate Anti-reason,Anti-reason,Good profile,Bad profile,Preferred reason,Anti-reason profile,Total,Worker start (min),Worker end (max),Worker span (s)
BeetleFly,214447,9319,1695,460178,2066,9319,1693,0,1705,700422,2025-10-31T17:33:55.030720,2025-11-01T15:14:59.491532,78064.461
SonyAIBORobotSurface1,0,4902,727,303484,12237,3784,573,0,260,325967,2025-10-25T13:54:38.357814,2025-10-25T15:50:32.599164,6954.241
HandOutlines,3607,1931,411,50810,555,1865,349,0,359,59887,2025-10-25T16:18:06.781607,2025-10-26T01:18:11.677513,32404.896
ECG5000,338578,1806,0,0,0,32,0,1778,0,342194,2025-10-27T13:27:28.261700,2025-10-27T20:45:04.251000,26255.989
ItalyPowerDemand,0,1294,357,0,4942,939,292,0,24,7848,2025-11-05T13:36:49.558941,2025-11-05T15:04:42.836589,5273.278
TwoLeadECG,0,1153,551,484385,22215,845,457,0,398,510004,2025-11-03T11:33:25.015754,2025-11-03T14:30:46.229607,10641.214
GunPoint,0,1123,316,147517,6083,792,239,0,187,156257,2025-11-01T15:24:53.803827,2025-11-01T15:44:15.857284,1162.053
BirdChicken,152906,906,1320,370182,1353,906,1318,0,1296,530187,2025-10-31T11:04:08.989794,2025-10-31T16:55:21.871700,21072.882
FordA,0,741,0,0,0,32,0,710,0,1483,2025-10-27T03:04:11.473588,2025-10-27T11:42:00.774662,31069.301
MoteStrain,155416,718,8,114422,39,40,8,698,39,271388,2025-11-04T12:22:31.170654,2025-11-05T12:54:33.144505,88321.974
ChlorineConcentration,620893,707,0,0,0,32,0,678,0,622310,2025-10-24T21:56:21.938372,2025-10-25T13:07:57.905980,54695.968
Wafer,637101,633,0,0,0,32,0,606,0,638372,2025-10-24T04:30:43.386122,2025-10-24T17:26:16.893110,46533.507
SonyAIBORobotSurface2,64251,463,2,78248,33,34,2,445,33,143511,2025-10-30T11:33:35.076361,2025-10-31T10:37:46.216731,83051.14
ToeSegmentation2,122826,342,329,96095,412,342,328,94,356,221124,2025-11-06T10:48:54.536914,2025-11-07T03:27:46.361639,59931.825
MelbournePedestrian,38823,239,0,0,0,32,0,243,0,39337,2025-10-23T01:55:33.429803,2025-10-23T10:58:45.392791,32591.963
CinCECGTorso,88353,167,44,86683,73,73,44,129,73,175639,2025-11-02T22:48:07.123551,2025-11-03T10:20:40.163621,41553.04
MiddlePhalanxOutlineCorrect,111624,132,8,71352,39,40,8,110,39,183352,2025-10-23T11:12:38.852472,2025-10-23T17:07:30.435706,21291.583
FacesUCR,0,105,0,0,0,32,0,77,0,214,2025-10-26T01:42:56.687091,2025-10-26T14:23:01.506859,45604.82
Coffee,163814,95,70,124507,98,95,70,1,68,288818,2025-10-29T15:06:12.964068,2025-10-30T11:26:23.016691,73210.053
Lightning2,396691,62,19,315023,49,51,19,26,49,711989,2025-11-07T03:38:47.612470,2025-11-10T06:57:39.834462,271132.222
Wine,32397,57,24,49057,55,53,24,36,55,81758,2025-10-26T15:04:12.469398,2025-10-27T02:27:56.216748,41023.747
ECG200,117381,43,6,105182,36,38,6,29,36,222757,2025-10-21T15:42:45.930897,2025-10-23T01:24:31.312069,121305.381
FaceFour,163050,39,7,144617,36,38,7,15,34,307843,2025-11-05T15:59:32.144946,2025-11-06T09:26:45.874334,62833.729
Meat,85609,38,6,118759,36,38,6,14,36,204542,2025-11-03T14:39:21.125229,2025-11-04T10:47:08.880421,72467.755
OliveOil,532570,35,0,0,0,32,0,5,0,532642,2025-11-01T15:51:01.826985,2025-11-02T17:21:29.894158,91828.067
